#position,scrub_name
1,dw_record_id
2,dw_member_id
3,dw_member_match_status
4,dw_file_type
5,inc_flag
6,dw_benplan_div_id
7,rev_claim_id
8,rev_claim_line_id
9,rev_claim_type
10,rev_claim_type_flag
11,ins_plan_type_code
12,ins_plan_type_desc
13,ins_carrier_id
14,ins_carrier_name
15,ins_coverage_type_code
16,ins_coverage_type_desc
17,ins_coverage_class
18,ins_plan_id
19,ins_plan_desc
20,ins_plan_class
21,ins_emp_group_id
22,ins_emp_group_name
23,ins_division_id
24,ins_division_name
25,ins_industry_sic
26,ins_cobra_code
27,ins_cobra_desc
28,mbr_id
29,mbr_seq
30,employee_id
31,mbr_ssn
32,mbr_first_name
33,mbr_middle_name
34,mbr_last_name
35,mbr_gender
36,mbr_dob
37,mbr_street_1
38,mbr_street_2
39,mbr_city
40,mbr_county
41,mbr_state
42,mbr_zip
43,mbr_phone
44,mbr_region_code
45,mbr_region_name
46,mbr_msa
47,mbr_relationship_code
48,mbr_relationship_desc
49,mbr_relationship_class
50,mbr_age_range
51,mbr_work_location
52,prv_service_provider_id
53,prv_npi
54,prv_tin
55,prv_type_code
56,prv_type_desc
57,prv_first_name
58,prv_middle_name
59,prv_last_name
60,prv_servicing_name
61,prv_gender
62,prv_native_language
63,prv_network_code
64,prv_network_name
65,prv_phone
66,prv_speciality_1_code
67,prv_Specialty_1_desc
68,prv_speciality_2_code
69,prv_Specialty_2_desc
70,prv_speciality_3_code
71,prv_Specialty_3_desc
72,prv_street_1
73,prv_street_2
74,prv_city
75,prv_county
76,prv_state
77,prv_zip
78,prv_in_network_flag
79,prv_pcp_flag
80,prv_pcp_id
81,prv_pcp_npi
82,prv_site_id
83,prv_pcp_first_name
84,prv_pcp_middle_name
85,prv_pcp_last_name
86,prv_pcp_state
87,prv_taxonomy_code_pcp
88,prv_taxonomy_desc_pcp
89,prv_taxonomy_subdesc_pcp
90,prv_taxonomy_specialization_pcp
91,prv_ordering_id
92,prv_ordering_npi
93,prv_ordering_last_name
94,prv_ordering_middle_name
95,prv_ordering_first_name
96,prv_ordering_name
97,prv_ordering_state
98,prv_ordering_zip
99,prv_billing_name
100,prv_billing_state
101,prv_attending_name
102,prv_attending_state
103,svc_pos_code
104,svc_pos_desc
105,svc_diag_type
106,svc_admitting_diag_code
107,svc_admitting_diag_desc
108,svc_diag_1_code
109,svc_diag_1_desc
110,svc_diag_2_code
111,svc_diag_2_desc
112,svc_diag_3_code
113,svc_diag_3_desc
114,svc_diag_4_code
115,svc_diag_4_desc
116,svc_diag_5_code
117,svc_diag_5_desc
118,svc_diag_6_code
119,svc_diag_6_desc
120,svc_diag_7_code
121,svc_diag_7_desc
122,svc_diag_8_code
123,svc_diag_8_desc
124,svc_diag_9_code
125,svc_diag_9_desc
126,svc_diag_10_code
127,svc_diag_10_desc
128,svc_diag_11_code
129,svc_diag_11_desc
130,svc_diag_12_code
131,svc_diag_12_desc
132,svc_diag_13_code
133,svc_diag_13_desc
134,svc_diag_14_code
135,svc_diag_14_desc
136,svc_diag_15_code
137,svc_diag_15_desc
138,svc_diag_16_code
139,svc_diag_16_desc
140,svc_diag_17_code
141,svc_diag_17_desc
142,svc_diag_18_code
143,svc_diag_18_desc
144,svc_diag_19_code
145,svc_diag_19_desc
146,svc_diag_20_code
147,svc_diag_20_desc
148,svc_diag_21_code
149,svc_diag_21_desc
150,svc_diag_22_code
151,svc_diag_22_desc
152,svc_diag_23_code
153,svc_diag_23_desc
154,svc_diag_24_code
155,svc_diag_24_desc
156,svc_diag_25_code
157,svc_diag_25_desc
158,svc_procedure_type
159,svc_procedure_code
160,svc_procedure_desc
161,svc_rev_code
162,svc_rev_desc
163,svc_cpt_code
164,svc_cpt_desc
165,svc_cpt_long_desc
166,svc_icd_proc_1_code
167,svc_icd_proc_1_desc
168,svc_icd_proc_2_code
169,svc_icd_proc_2_desc
170,svc_drg_type_code
171,svc_drg_type_Desc
172,svc_drg_code
173,svc_drg_desc
174,svc_hcpcs_code
175,svc_hcpcs_desc
176,svc_hcpcs_long_desc
177,svc_hipps_code
178,svc_hipps_desc
179,svc_modifier_code 
180,svc_modifier_desc
181,svc_modifier_2_code
182,svc_modifier_2_desc
183,svc_modifier_3_code
184,svc_modifier_3_desc
185,svc_tos_code
186,svc_tos_desc
187,svc_discharge_code
188,svc_discharge_desc
189,svc_service_qty
190,svc_ip_days
191,svc_covered_days
192,svc_admit_type
193,svc_service_frm_date
194,svc_service_to_date
195,rev_adjudication_date
196,rev_paid_date
197,svc_benefit_code
198,svc_benefit_desc
199,rev_allowed_amt
200,rev_billed_amt
201,rev_cob_paid_amt
202,rev_coinsurance_amt
203,rev_copay_amt
204,rev_coverage_charge_amt
205,rev_deductible_amt
206,rev_not_covered_amt
207,rev_other_savings
208,rev_ppo_savings
209,rev_paid_amt
210,rev_pay_type
211,rev_check_num
212,svc_pre_authorization1
213,svc_pre_authorization2
214,rev_adjudication_code
215,rev_adjudication_desc
216,rev_adjudication_class
217,mbr_MRN
218,mbr_HICN
219,rev_bill_type_code
220,rev_bill_type_desc
221,rev_eob_adjustment_code
222,rev_eob_adjustment_desc
223,prv_domestic_flag
224,prv_taxonomy_code1
225,prv_taxonomy_desc1
226,prv_taxonomy_subdesc1
227,prv_taxonomy_specialization_1
228,prv_taxonomy_code2
229,prv_taxonomy_desc2
230,prv_taxonomy_subdesc2
231,prv_taxonomy_specialization_2
232,prv_taxonomy_code_ordering
233,prv_taxonomy_desc_ordering
234,prv_taxonomy_subdesc_ordering
235,prv_taxonomy_specialization_ordering
236,prv_taxonomy_code_attending
237,prv_taxonomy_desc_attending
238,prv_taxonomy_subdesc_attending
239,prv_taxonomy_specialization_attending
240,prv_type_category
241,prv_type_category_billing
242,prv_type_category_ordering
243,prv_type_category_attending
244,rev_orig_claim_id
245,record_type
246,reserved_field_1
247,reserved_field_2
248,reserved_field_3
249,dw_med_duplicate_claim_flag_2
250,reserved_field_4
251,reserved_field_5
252,reserved_field_6
253,reserved_field_7
254,reserved_field_8
255,reserved_field_9
256,reserved_field_10
257,reserved_field_11
258,reserved_field_12
259,reserved_field_13
260,reserved_field_14
261,reserved_field_15
262,reserved_field_16
263,reserved_loa_field_1
264,reserved_loa_field_2
265,reserved_loa_field_3
266,reserved_loa_field_4
267,reserved_field_17
268,reserved_field_18
269,reserved_field_19
270,reserved_field_20
271,reserved_field_21
272,reserved_field_22
273,reserved_field_23
274,reserved_field_24
275,reserved_field_25
276,reserved_field_26
277,reserved_field_27
278,reserved_field_28
279,reserved_field_29
280,reserved_field_30
281,reserved_field_31
282,reserved_field_32
283,reserved_field_33
284,reserved_field_34
285,reserved_field_35
286,reserved_field_36
287,reserved_field_37
288,reserved_field_38
289,reserved_field_39
290,reserved_field_40
291,reserved_field_41
292,reserved_field_42
293,reserved_field_43
294,reserved_field_44
295,reserved_field_45
296,reserved_field_46
297,reserved_field_47
298,reserved_field_48
299,reserved_field_49
300,reserved_field_50
301,reserved_field_51
302,reserved_field_52
303,reserved_field_53
304,reserved_field_54
305,reserved_field_55
306,reserved_field_56
307,reserved_field_57
308,reserved_field_58
309,reserved_field_59
310,reserved_field_60
311,reserved_loa_field_5
312,reserved_loa_field_6
313,reserved_loa_field_7
314,reserved_loa_field_8
315,reserved_loa_field_9
